sentence,cause,effect,is_causal
Anti-government protesters in Hong Kong took over key roads early on Monday amid rising tensions ahead of what expected to be a huge pro-democracy rally on the anniversary of the city ’ s handover to China.,,,0
Hundreds of protesters shouted “ retract the evil law ” in the torrential rain at one point.,,,0
"Cosatu members clashed with DA supporters as they made their way to the lawns of the Joburg ( formerly the Civic ) Theatre, 50 metres from the trade union federation 's office.",,,0
"On Lung Wo Road, some protesters dug up bricks and built make-shift barricades from roadside metal railings.",,,0
"There have been large-scale protests in Hong Kong in recent years, including a two-month occupation in 2014 – but have failed to win any concessions from Beijing.",,,0
Protesters have also surrounded the police headquarters twice in past weeks in noisy and emotionally charged protests in which young people spray-painted obscenities on its front wall and barricaded its entrances.,,,0
"Eddy Chu Hoi-dick, a pro-democracy lawmaker, said while he worries about violence breaking out, he believes the young protesters in the leaderless protests have “ consensus about when they should back down ” and avoid arrest.",,,0
"Many waved Chinese flags and hurled insults at anti-government demonstrators camped nearby, highlighting the deep ideological fissures now dividing the finance hub.",,,0
"Ramaphosa promises instant response to violence against women and children in SA Songezo Ndlendle CAPE TOWN, September 5 ( ANA ) - South Africa President Cyril Ramaphosa on Thursday addressed thousands of protesters outside Parliament following Wednesday 's mass gathering against the abuse and violence directed at women and children outside the meeting venue of the World Economic Forum in Cape Town.",,,0
"You have given me your memorandum and I can see all the messages on the placards that you are holding and I 'm internalising all of them, '' Ramaphosa told the protesters on Thursday.",,,0
"And some of the things that I will be announcing are set out in your memorandum, we will be responding instantly to what you have set out in your memorandum, '' Ramaphosa said.",,,0
Some in the crowd chanted `` bring death sentence back ''.,,,0
The riot continued for about a fortnight.,,,0
"5 percent wage increase for our striking staff remains on the table, '' she said.",,,0
"Earlier the Congress of South African Trade Unions ( Cosatu ) Western Cape regional secretary, Tony Ehrenreich, said the strike could be resolved for about R1 million a year.",,,0
"Azad Maidan : Media targeted, photographers bear the brunt - Indian Express Express News Service, Express News Service : Sun Aug 12 2012, 03:11 hrs While broadcasting vans of two television channels were torched in the riot that broke out near Azad Maidan, several news photographers said they, too, were targeted by the protesting mob.",,,0
The protesters allegedly assaulted photographers and damaged their equipment.,,,0
"Prashant Sawant, a photographer with Marathi daily Sakal, was near the Brihanmumbai Municipal Corporation ( BMC ) building when the mob spotted his camera and started hitting him.",,,0
"They seized it, took the film and beat me up.",,,0
""" Some protesters attacked me when I was clicking pictures, but their colleagues dissuaded them.",,,0
"Later, I spotted a few people beating up someone who looked like a Muslim leader and went to take their photo.",,,0
Two photographers with The Indian Express  Prashant Nadkar and Ganesh Shirsekar  were also assaulted and threatened by the mob.,,,0
They were targeting anyone with a camera.,,,0
Police used teargas and stun grenades on Wednesday during a march in central Durban by the KwaZulu-Natal Transport Alliance ( KZNTA ).,,,0
The 300-strong crowd delivered a memorandum to the city 's mayor James Nxumalo at the Durban City hall.,,,0
The alliance members then marched from the hall to Pixley ka Seme Street ( formerly West Street ).,,,0
Stun grenades and teargas were released as police officers chased after groups of taxi drivers taking part in the strike.,,,0
Colonel Jay Naicker said the march began at 11am.,,,0
The taxi operators were protesting about routes.,,,0
The municipality was aware of the reasons for the KZNTA 's march.,,,0
Five people were reportedly injured in the incident.,,,0
"Pakistan had earlier expressed desire to record statement of the magistrate, R.V. Sawant Waghule, who had recorded the confession of Ajmal Amir Kasab, the lone terrorist captured alive during the Mumbai attack.",,,0
Investigating Officer Ramesh Mahale and the doctor who carried out the autopsy of the terrorists who attacked Mumbai and were killed during action are also to testify before the Pakistani judicial team.,,,0
"During the strike the facility, which houses nearly 2000 inmates, was run with limited staff.",,,0
"A riot broke out, various staff members were stabbed, and inmates took a woman warder hostage for 13 hours.",,,0
"' The new generation of Hong Kong people were born and live here and their roots are in the city ' said Yip, 27, the former vice-convenor of the Civil Human Rights Front that has been organising the annual July 1 protests over the past few years.",,,0
Hundreds of lawyers took on media persons at the court barring them from entering the premises and also threw stones and bottles on them.,,,0
""" It is an unfortunate incident.",,,0
"Whatever incidents have taken place have already been controlled, peace has been restored, we have registered criminal cases, we will identify the culprits and we will take action, "" the Karnataka DGP said.",,,0
"Whoever has violated law will be dealt with according to law. """,,,0
"Lawyers were caught on camera hurling stones, chairs and water bottles at the media, police and public.",,,0
"They also attacked vehicles, including a police van, in front of a police outpost in the court premises.",,,0
They also cooked food on the road with firewood.,,,0
"Abducted TDP Leaders Released by Maoists 16th October 2015 04:10 AM VISAKHAPATNAM : Three TDP leaders who were kidnapped by the Maoists on October 5, have been released safely in the agency area of Visakhapatnam district in the wee hours of Thursday.",,,0
"The abducted included TDP GK Veedhi mandal unit president V Balaiah, district committee executive member M Mahesh and Janmabhoomi committee member M Balaiah.",,,0
"Following a demonstration at the district collectorate on Wednesday, the students handed over a memorandum addressed to the Governor to Additional District Magistrate Akhilesh Ojha, who assured them of a fair inquiry.",,,0
"TN BJP man felled, leaders call for arrests",,,0
This is the third assassination of a Tamil Nadu BJP leader in a sequence.,,,0
"Listing a number of such killings of and attacks on BJP leaders in the past one year, she said the incidents seemed to be “ targeted. ” The release also pointed to the attempted attack on senior BJP leader L K Advani during his visit to Madurai in 2011.",,,0
"While the pipe bomb planted near Alampatti was fortunately detected in time, Seetharaman said not all accused in the case have been arrested, with at least two people as yet absconding.",,,0
“ It is apparent that all these attacks are undertaken with detailed planning and after surveillance of the movements of these activists.,,,0
Each of these attacks has been gruesome and brutal.,,,0
"But we are managing the strike very well, '' Mlangeni said.",,,0
About 200 workers briefly protested outside the company 's head office in Johannesburg on Tuesday before agreeing to meet again on Wednesday.,,,0
The former Minister S.K. Kanta is leading the agitation.,,,0
The rebels had killed Khairput police SI K C Rath at the same spot two months back.,,,0
"The incident was followed by a similar one in the same area around 8pm on Friday, where police again used rubber bullets.",,,0
Multai firing : Ex - HC judge to head tribunal,,,0
He said the Chief Minister had announced that the role of the non-official persons in the agitation and the subsequent police firing would be inquired into by the CBI.,,,0
"The organisers of the bandh, which included many Kannada organisations, Dalit organisations and heads of a few religious maths, there was no was force on the business establishments and hotels to close their establishments, and everybody 's support for the bandh call appeared voluntary.",,,0
